,median_time_diff_days
Singapore,839.9285714285714
China,2301.5619389587073
Canada,802.6341463414634
,330.2864583333333
Switzerland,3861.909090909091
Poland,1870.8333333333333
Germany,190.33333333333334
Spain,4199.25
Ireland,1087.0
USA,2150.278846153846
United Kingdom,1252.3880597014925
Korea,1081.5
Tunisia,2420.1111111111113
Hungary,1727.6666666666667
Belgium,890.5
Austria,2826.6666666666665
India,537.0
Brazil,1528.5
